user_id,financial_health_score,engagement_score,financial_category,enhanced_segment,credit_score,dti_ratio,income,missed_payments,click_rate,avg_time_viewed,total_interactions,primary_recommendation,secondary_recommendation,tertiary_recommendation,financial_priorities,urgency_flags,strategy,weight_method
user_000,0.684112295,0.322625,Good,Payment_Recovery_Priority,696,0.47,48541.53,2,0.125,14.525,8,improve,insights,protect,URGENT_PAYMENT_MANAGEMENT,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",Manual
user_001,0.536960085,0.632,Fair,Debt_Management_Priority,643,0.54,39373.39,0,0.8333333333333334,29.733333333333334,6,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Credit_Repair, Legal_Financial_Issues",LEGAL_ACTION,"🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_002,0.78318779,0.6011666666666667,Good,Growth_Focused,867,0.41,50391.86,0,0.5,50.23333333333334,6,improve,insights,drivescore,Wealth_Building,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.41.,Manual
user_003,0.7585847849999999,0.5043888888888888,Good,Growth_Focused,938,0.37,33123.19,0,0.2222222222222222,38.099999999999994,9,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.37.,Manual
user_004,0.680233465,0.28125,Good,Mainstream,763,0.48,44222.31,1,0.5,6.25,2,improve,insights,drivescore,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,Manual
user_005,0.84030594,0.34005,Excellent,Premium_Moderate,981,0.22,34003.96,0,0.1,10.01,10,protect,improve,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium content with clear value propositions. Balance wealth building with practical financial advice. Leverage high financial health score: 0.84.,Manual
user_006,0.643861315,0.5244090909090908,Fair,Debt_Management_Priority,778,0.66,36974.21,0,0.2727272727272727,28.063636363636363,11,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 66.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",Manual
user_007,0.806173735,0.2705,Excellent,Premium_Moderate,918,0.39,52182.49,0,0.2,13.1,5,protect,improve,insights,Wealth_Building,STABLE_FINANCIAL_POSITION,Offer premium content with clear value propositions. Balance wealth building with practical financial advice. Leverage high financial health score: 0.81.,Manual
user_008,0.688329335,0.4383125,Good,Mainstream,708,0.13,48952.89,1,0.375,17.6625,8,improve,insights,drivescore,Legal_Financial_Issues,LEGAL_ACTION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,Manual
user_009,0.8746790050000001,0.6838,Excellent,Premium_Engaged,1000,0.0,36452.67,0,0.6,38.760000000000005,10,protect,improve,insights,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Offer premium wealth management and investment content. Focus on portfolio optimization and advanced financial strategies. Credit score: 1000.,Manual
