user_id,segment,primary_recommendation,secondary_recommendation,strategy,user_click_rate,user_avg_time,total_interactions
user_000,Low Engagement,improve,protect,"Provide simple, bite-sized content with clear benefits and easy next steps",0.12,14.52,8
user_001,Low Engagement,protect,credit_cards,"Provide simple, bite-sized content with clear benefits and easy next steps",0.83,29.73,6
user_002,Medium Engagement,drivescore,protect,Offer balanced content with clear value propositions and moderate detail,0.5,50.23,6
user_003,Medium Engagement,credit_cards,loans,Offer balanced content with clear value propositions and moderate detail,0.22,38.1,9
user_004,Low Engagement,insights,drivescore,"Provide simple, bite-sized content with clear benefits and easy next steps",0.5,6.25,2
user_005,Low Engagement,improve,loans,"Provide simple, bite-sized content with clear benefits and easy next steps",0.1,10.01,10
user_006,Low Engagement,drivescore,credit_cards,"Provide simple, bite-sized content with clear benefits and easy next steps",0.27,28.06,11
user_007,Low Engagement,drivescore,insights,"Provide simple, bite-sized content with clear benefits and easy next steps",0.2,13.1,5
user_008,Low Engagement,loans,credit_cards,"Provide simple, bite-sized content with clear benefits and easy next steps",0.38,17.66,8
user_009,High Engagement,credit_cards,improve,"Provide premium, in-depth content with comprehensive details and advanced features",0.6,38.76,10
user_010,Medium Engagement,loans,improve,Offer balanced content with clear value propositions and moderate detail,0.22,27.24,9
user_011,High Engagement,protect,credit_cards,"Provide premium, in-depth content with comprehensive details and advanced features",0.23,37.12,13
user_012,High Engagement,insights,credit_cards,"Provide premium, in-depth content with comprehensive details and advanced features",0.5,41.81,12
user_013,Medium Engagement,protect,credit_cards,Offer balanced content with clear value propositions and moderate detail,0.43,45.13,7
user_014,High Engagement,improve,credit_cards,"Provide premium, in-depth content with comprehensive details and advanced features",0.44,41.51,16
user_015,Low Engagement,improve,credit_cards,"Provide simple, bite-sized content with clear benefits and easy next steps",0.22,24.02,9
user_016,Low Engagement,drivescore,loans,"Provide simple, bite-sized content with clear benefits and easy next steps",0.29,15.03,14
user_017,High Engagement,credit_cards,loans,"Provide premium, in-depth content with comprehensive details and advanced features",0.38,24.36,16
user_018,High Engagement,drivescore,improve,"Provide premium, in-depth content with comprehensive details and advanced features",0.36,26.28,11
