user_id,financial_health_score,engagement_score,financial_category,enhanced_segment,credit_score,dti_ratio,income,missed_payments,click_rate,avg_time_viewed,total_interactions,primary_recommendation,secondary_recommendation,tertiary_recommendation,financial_priorities,urgency_flags,strategy,ml_confidence,weight_method
user_000,0.7355573237776604,-8.80023307862701,Good,Payment_Recovery_Priority,696,0.47,48541.53,2,0.125,14.525,8,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.69,ML_Learned
user_001,0.55244065452245,-13.315544905279125,Fair,Debt_Management_Priority,643,0.54,39373.39,0,0.8333333333333334,29.733333333333334,6,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.72,ML_Learned
user_002,0.8352484364884734,-20.40923520659121,Excellent,Activation_Needed,867,0.41,50391.86,0,0.5,50.23333333333334,6,insights,protect,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.56,ML_Learned
user_003,0.8138085036922004,-17.511431928820045,Excellent,Activation_Needed,938,0.37,33123.19,0,0.2222222222222222,38.099999999999994,9,insights,protect,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.82,ML_Learned
user_004,0.7464540811408715,-3.202172244487386,Good,Activation_Needed,763,0.48,44222.31,1,0.5,6.25,2,drivescore,insights,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.39,ML_Learned
user_005,0.8763691693454895,-8.146008035387975,Excellent,Activation_Needed,981,0.22,34003.96,0,0.1,10.01,10,insights,protect,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.78,ML_Learned
user_006,0.7301646394331857,-14.943951139084607,Good,Debt_Management_Priority,778,0.66,36974.21,0,0.2727272727272727,28.063636363636363,11,improve,insights,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 66.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.61,ML_Learned
user_007,0.8487397575643207,-6.926986550396073,Excellent,Activation_Needed,918,0.39,52182.49,0,0.2,13.1,5,insights,drivescore,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.93,ML_Learned
user_008,0.6560900784926418,-9.942391761593026,Good,Activation_Needed,708,0.13,48952.89,1,0.375,17.6625,8,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.51,ML_Learned
user_009,0.9098272125057539,-18.275999056480195,Excellent,Activation_Needed,1000,0.0,36452.67,0,0.6,38.760000000000005,10,insights,protect,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.6,ML_Learned
user_010,0.6283440053997474,-13.721925978459643,Fair,Payment_Recovery_Priority,614,0.73,34356.84,2,0.2222222222222222,27.244444444444444,9,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.84,ML_Learned
user_011,0.5689945596139258,-19.02517085540653,Fair,Debt_Management_Priority,591,1.06,24355.98,1,0.23076923076923078,37.12307692307692,13,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 106.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.85,ML_Learned
user_012,0.7970640458671672,-20.24794444645804,Good,Activation_Needed,811,0.36,59799.32,1,0.5,41.80833333333333,12,insights,protect,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.41,ML_Learned
user_013,0.8213203144351043,-19.07713130239037,Excellent,Activation_Needed,921,0.33,47259.96,0,0.42857142857142855,45.128571428571426,7,insights,improve,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.84,ML_Learned
user_014,0.46734708560824045,-21.983929291716137,Fair,Payment_Recovery_Priority,359,1.12,30539.33,4,0.4375,41.50625,16,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 4 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",0.88,ML_Learned
user_015,0.7141408650042395,-12.597098214278972,Good,Activation_Needed,800,0.0,55737.48,0,0.2222222222222222,24.022222222222222,9,insights,improve,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.53,ML_Learned
user_016,0.8021278113510952,-11.785921961444387,Excellent,Activation_Needed,898,0.43,33316.03,0,0.2857142857142857,15.028571428571428,14,insights,protect,drivescore,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.79,ML_Learned
user_017,0.8632755850243929,-15.985403951887609,Excellent,Activation_Needed,954,0.27,49233.19,0,0.375,24.35625,16,insights,drivescore,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,0.92,ML_Learned
user_018,0.6799046614110487,-14.339002843342854,Good,Debt_Management_Priority,683,0.7,38982.41,1,0.36363636363636365,26.281818181818185,11,improve,drivescore,insights,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 70.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",0.77,ML_Learned
