user_id,enhanced_segment,financial_category,primary_recommendation,secondary_recommendation,tertiary_recommendation,financial_priorities,urgency_flags,strategy,credit_score,dti_ratio,financial_health_score,engagement_score
user_000,Payment_Recovery_Priority,Good,improve,insights,protect,URGENT_PAYMENT_MANAGEMENT,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",696,0.47,0.684112295,0.3649537318315245
user_001,Debt_Management_Priority,Fair,insights,drivescore,protect,"URGENT_DTI_REDUCTION, Credit_Repair, Legal_Financial_Issues",LEGAL_ACTION,"🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",643,0.54,0.536960085,0.5697636067084539
user_002,Growth_Focused,Good,insights,drivescore,protect,Wealth_Building,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.41.,867,0.41,0.78318779,0.6452413515860239
user_003,Growth_Focused,Good,credit_cards,drivescore,improve,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.37.,938,0.37,0.7585847849999999,0.5853035531178257
user_004,Activation_Needed,Good,insights,drivescore,improve,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,763,0.48,0.680233465,0.2121698652804433
user_005,Premium_Moderate,Excellent,improve,insights,credit_cards,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium content with clear value propositions. Balance wealth building with practical financial advice. Leverage high financial health score: 0.84.,981,0.22,0.84030594,0.38688705760349973
user_006,Debt_Management_Priority,Fair,drivescore,improve,credit_cards,"URGENT_DTI_REDUCTION, Debt_Reduction, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 66.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",778,0.66,0.643861315,0.5827437562389945
user_007,Premium_Moderate,Excellent,insights,improve,drivescore,Wealth_Building,STABLE_FINANCIAL_POSITION,Offer premium content with clear value propositions. Balance wealth building with practical financial advice. Leverage high financial health score: 0.81.,918,0.39,0.806173735,0.2841534591265543
user_008,Mainstream,Good,improve,drivescore,loans,Legal_Financial_Issues,LEGAL_ACTION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,708,0.13,0.688329335,0.4439899142129117
user_009,Premium_Engaged,Excellent,loans,improve,protect,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Offer premium wealth management and investment content. Focus on portfolio optimization and advanced financial strategies. Credit score: 1000.,1000,0.0,0.8746790050000001,0.7019372811677422
user_010,Payment_Recovery_Priority,Fair,insights,improve,protect,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Debt_Reduction",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",614,0.73,0.54323526,0.5073341473726838
user_011,Debt_Management_Priority,Poor,drivescore,improve,insights,"URGENT_DTI_REDUCTION, Credit_Repair, Debt_Reduction, Debt_Consolidation",HIGH_DEBT_BURDEN,"🚨 CRITICAL: DTI 106.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",591,1.06,0.44883397,0.6684281286316294
user_012,Growth_Focused,Good,insights,credit_cards,protect,"Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.36.,811,0.36,0.74799898,0.7607653311934648
user_013,Growth_Focused,Good,loans,insights,protect,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.33.,921,0.33,0.76468994,0.6227455871356296
user_014,Payment_Recovery_Priority,Poor,improve,insights,loans,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Debt_Reduction, Payment_Management, Debt_Consolidation","HIGH_DEBT_BURDEN, CRITICAL_CREDIT_SCORE","🚨 PAYMENT ISSUES: 4 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",359,1.12,0.363508995,0.7455747397338216
user_015,Mainstream,Good,improve,insights,loans,"Legal_Financial_Issues, Wealth_Building, Homeownership_Ready",LEGAL_ACTION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,800,0.0,0.74360622,0.48421614677421637
user_016,Growth_Focused,Good,insights,credit_cards,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.43.,898,0.43,0.741874045,0.5228696413957176
user_017,Premium_Engaged,Excellent,protect,loans,credit_cards,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Offer premium wealth management and investment content. Focus on portfolio optimization and advanced financial strategies. Credit score: 954.,954,0.27,0.822549785,0.609409517813254
