user_id,enhanced_segment,financial_category,primary_recommendation,secondary_recommendation,tertiary_recommendation,financial_priorities,urgency_flags,strategy,credit_score,dti_ratio,financial_health_score,engagement_score
user_000,Payment_Recovery_Priority,Good,improve,insights,protect,URGENT_PAYMENT_MANAGEMENT,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",696,0.47,0.684112295,0.12668666666666667
user_001,Debt_Management_Priority,Fair,insights,drivescore,protect,"URGENT_DTI_REDUCTION, Credit_Repair, Legal_Financial_Issues",LEGAL_ACTION,"🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",643,0.54,0.536960085,0.823355
user_002,Growth_Focused,Good,insights,drivescore,protect,Wealth_Building,STABLE_FINANCIAL_POSITION,Provide growth-oriented financial content with moderate complexity. Focus on building wealth and improving financial position. Current DTI: 0.41.,867,0.41,0.78318779,0.5033716666666667
user_003,Activation_Needed,Good,credit_cards,drivescore,improve,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,938,0.37,0.7585847849999999,0.22945
user_004,Mainstream,Good,insights,drivescore,improve,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,763,0.48,0.680233465,0.4927083333333333
user_005,Activation_Needed,Excellent,improve,insights,credit_cards,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,981,0.22,0.84030594,0.10800166666666666
user_006,Debt_Management_Priority,Fair,drivescore,improve,credit_cards,"URGENT_DTI_REDUCTION, Debt_Reduction, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 66.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",778,0.66,0.643861315,0.2784433333333333
user_007,Activation_Needed,Excellent,insights,improve,drivescore,Wealth_Building,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,918,0.39,0.806173735,0.20235000000000003
user_008,Mainstream,Good,improve,drivescore,loans,Legal_Financial_Issues,LEGAL_ACTION,Provide balanced financial content for users with decent financial health. Focus on practical advice and gradual improvement. Build on solid financial foundation.,708,0.13,0.688329335,0.38201
user_009,Premium_Engaged,Excellent,loans,improve,protect,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Offer premium wealth management and investment content. Focus on portfolio optimization and advanced financial strategies. Credit score: 1000.,1000,0.0,0.8746790050000001,0.6027933333333333
