user_id,enhanced_segment,financial_category,primary_recommendation,secondary_recommendation,tertiary_recommendation,primary_ml_score,primary_hybrid_score,financial_priorities,urgency_flags,strategy,credit_score,dti_ratio,financial_health_score,engagement_score,recommendation_method
user_000,Payment_Recovery_Priority,Good,protect,improve,insights,0.6572349965291459,0.6557879972233167,URGENT_PAYMENT_MANAGEMENT,STABLE_FINANCIAL_POSITION,🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. ML predictions adjusted for payment crisis.,696,0.47,0.684112295,0.3206,ML_Hybrid
user_001,Debt_Management_Priority,Fair,drivescore,improve,protect,0.3095611000328375,0.32764888002627,"URGENT_DTI_REDUCTION, Credit_Repair, Legal_Financial_Issues",LEGAL_ACTION,🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. ML model recommends content with financial override priority.,643,0.54,0.536960085,0.63065,ML_Hybrid
user_002,Growth_Focused,Good,improve,protect,drivescore,0.4115986363278643,0.4292789090622915,Wealth_Building,STABLE_FINANCIAL_POSITION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.41.,867,0.41,0.78318779,0.60115,ML_Hybrid
user_003,Growth_Focused,Good,improve,protect,drivescore,0.868596535948589,0.7948772287588712,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.37.,938,0.37,0.7585847849999999,0.5035000000000001,ML_Hybrid
user_004,Mainstream,Good,improve,protect,insights,0.3268392717683085,0.36147141741464683,Homeownership_Ready,STABLE_FINANCIAL_POSITION,ML-balanced content strategy for users with decent financial health. Machine learning predictions guide practical financial advice selection.,763,0.48,0.680233465,0.28125,ML_Hybrid
user_005,Premium_Moderate,Excellent,improve,protect,drivescore,0.8295472910827553,0.7636378328662042,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,ML premium content recommendations with clear value propositions. Algorithmic content selection balanced with wealth building advice.,981,0.22,0.84030594,0.34005,ML_Hybrid
user_006,Debt_Management_Priority,Fair,improve,protect,insights,0.7248491285263403,0.7758793028210722,"URGENT_DTI_REDUCTION, Debt_Reduction, Homeownership_Ready",STABLE_FINANCIAL_POSITION,🚨 CRITICAL: DTI 66.0% - URGENT debt reduction required. ML model recommends content with financial override priority.,778,0.66,0.643861315,0.5233,ML_Hybrid
user_007,Premium_Moderate,Excellent,improve,protect,insights,0.6252749992302398,0.6002199993841918,Wealth_Building,STABLE_FINANCIAL_POSITION,ML premium content recommendations with clear value propositions. Algorithmic content selection balanced with wealth building advice.,918,0.39,0.806173735,0.2705,ML_Hybrid
user_008,Mainstream,Good,improve,protect,credit_cards,0.3168807872641061,0.35350462981128494,Legal_Financial_Issues,LEGAL_ACTION,ML-balanced content strategy for users with decent financial health. Machine learning predictions guide practical financial advice selection.,708,0.13,0.688329335,0.4403,ML_Hybrid
user_009,Premium_Engaged,Excellent,improve,protect,credit_cards,0.9059028355341653,0.8247222684273322,Homeownership_Ready,STABLE_FINANCIAL_POSITION,ML-driven premium content strategy. Machine learning identified content preferences combined with wealth management focus. Credit score: 1000.,1000,0.0,0.8746790050000001,0.6838,ML_Hybrid
