user_id,enhanced_segment,financial_category,primary_recommendation,secondary_recommendation,tertiary_recommendation,financial_priorities,urgency_flags,strategy,credit_score,dti_ratio,financial_health_score,engagement_score
user_000,Payment_Recovery_Priority,Good,improve,insights,protect,URGENT_PAYMENT_MANAGEMENT,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",696,0.47,0.684112295,-0.49172391002926286
user_001,Debt_Management_Priority,Fair,insights,drivescore,protect,"URGENT_DTI_REDUCTION, Credit_Repair, Legal_Financial_Issues",LEGAL_ACTION,"🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",643,0.54,0.536960085,-0.4392813808920703
user_002,Activation_Needed,Good,insights,drivescore,protect,Wealth_Building,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,867,0.41,0.78318779,-0.5665406862191773
user_003,Activation_Needed,Good,credit_cards,drivescore,improve,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,938,0.37,0.7585847849999999,-0.6689111353009792
user_004,Activation_Needed,Good,insights,drivescore,improve,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,763,0.48,0.680233465,-0.11638384449620032
user_005,Activation_Needed,Excellent,improve,insights,credit_cards,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,981,0.22,0.84030594,-0.5721866067171433
user_006,Debt_Management_Priority,Fair,drivescore,improve,credit_cards,"URGENT_DTI_REDUCTION, Debt_Reduction, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 66.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",778,0.66,0.643861315,-0.7158919574496732
user_007,Activation_Needed,Excellent,insights,improve,drivescore,Wealth_Building,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,918,0.39,0.806173735,-0.32386065556635113
user_008,Activation_Needed,Good,improve,drivescore,loans,Legal_Financial_Issues,LEGAL_ACTION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,708,0.13,0.688329335,-0.49738506720073195
user_009,Activation_Needed,Excellent,loans,improve,protect,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,1000,0.0,0.8746790050000001,-0.7077782135828461
user_010,Payment_Recovery_Priority,Fair,insights,improve,protect,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Debt_Reduction",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",614,0.73,0.54323526,-0.6092809273915937
user_011,Debt_Management_Priority,Poor,drivescore,improve,insights,"URGENT_DTI_REDUCTION, Credit_Repair, Debt_Reduction, Debt_Consolidation",HIGH_DEBT_BURDEN,"🚨 CRITICAL: DTI 106.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",591,1.06,0.44883397,-0.8195879853612649
user_012,Activation_Needed,Good,insights,credit_cards,protect,"Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,811,0.36,0.74799898,-0.8333145154353934
user_013,Activation_Needed,Good,loans,insights,protect,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,921,0.33,0.76468994,-0.5938229824192681
user_014,Payment_Recovery_Priority,Poor,improve,insights,loans,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Debt_Reduction, Payment_Management, Debt_Consolidation","HIGH_DEBT_BURDEN, CRITICAL_CREDIT_SCORE","🚨 PAYMENT ISSUES: 4 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",359,1.12,0.363508995,-0.8343395773918556
user_015,Activation_Needed,Good,improve,insights,loans,"Legal_Financial_Issues, Wealth_Building, Homeownership_Ready",LEGAL_ACTION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,800,0.0,0.74360622,-0.5916005158383505
user_016,Activation_Needed,Good,insights,credit_cards,improve,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,898,0.43,0.741874045,-0.695623664188307
user_017,Activation_Needed,Excellent,protect,loans,credit_cards,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,954,0.27,0.822549785,-0.7428444733010668
user_018,Debt_Management_Priority,Fair,improve,insights,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 70.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",683,0.7,0.5933736150000001,-0.7021098558927026
user_019,Activation_Needed,Good,improve,insights,loans,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,800,0.42,0.66982985,-0.6370095231505621
user_020,Debt_Management_Priority,Fair,insights,improve,drivescore,"URGENT_DTI_REDUCTION, Debt_Reduction, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 CRITICAL: DTI 70.0% - URGENT debt reduction required. Focus on debt consolidation, payment strategies, budgeting, and avoid all new debt. Immediate action needed.",732,0.7,0.635812185,-0.509629575823009
user_021,Activation_Needed,Excellent,drivescore,protect,improve,Wealth_Building,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,972,0.19,0.850566955,-0.6898427006525463
user_022,Payment_Recovery_Priority,Poor,improve,insights,drivescore,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Payment_Management, Legal_Financial_Issues","CRITICAL_CREDIT_SCORE, LEGAL_ACTION","🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",419,0.5,0.40947465499999997,-0.6234484669119663
user_023,Payment_Recovery_Priority,Good,insights,drivescore,credit_cards,URGENT_PAYMENT_MANAGEMENT,STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",810,0.3,0.71835674,-0.6190169397288376
user_024,Activation_Needed,Good,improve,insights,protect,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,878,0.49,0.7270447899999999,-0.623232293888148
user_025,Activation_Needed,Fair,drivescore,protect,improve,Legal_Financial_Issues,LEGAL_ACTION,Basic financial education and engagement building. Start with simple concepts and gradually increase complexity. Build financial awareness.,761,0.36,0.61721773,-0.5395908802813292
user_026,Payment_Recovery_Priority,Good,improve,insights,drivescore,"URGENT_PAYMENT_MANAGEMENT, Payment_Management, Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,"🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. Focus on payment scheduling, budgeting, automatic payments, and credit repair strategies. Address payment history immediately.",714,0.18,0.721042585,-0.44586647690581216
